"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"L1","9 Feb 2026, 17:33","9 Feb 2026, 18:18","","Squat (Barbell)",,"",0,"warmup",60,8,,,
"L1","9 Feb 2026, 17:33","9 Feb 2026, 18:18","","Squat (Barbell)",,"",1,"warmup",80,4,,,
"L1","9 Feb 2026, 17:33","9 Feb 2026, 18:18","","Squat (Barbell)",,"",2,"warmup",100,2,,,
"L1","9 Feb 2026, 17:33","9 Feb 2026, 18:18","","Squat (Barbell)",,"",3,"normal",120,6,,,
"L1","9 Feb 2026, 17:33","9 Feb 2026, 18:18","","Squat (Barbell)",,"",4,"failure",120,5,,,
"L1","9 Feb 2026, 17:33","9 Feb 2026, 18:18","","Seated Leg Curl (Machine)",,"",0,"warmup",40,7,,,
"L1","9 Feb 2026, 17:33","9 Feb 2026, 18:18","","Seated Leg Curl (Machine)",,"",1,"warmup",80,2,,,
"L1","9 Feb 2026, 17:33","9 Feb 2026, 18:18","","Seated Leg Curl (Machine)",,"",2,"normal",70,7,,,
"L1","9 Feb 2026, 17:33","9 Feb 2026, 18:18","","Seated Leg Curl (Machine)",,"",3,"failure",70,7,,,
"L1","9 Feb 2026, 17:33","9 Feb 2026, 18:18","","Calf Extension (Machine)",,"",0,"warmup",70,7,,,
"L1","9 Feb 2026, 17:33","9 Feb 2026, 18:18","","Calf Extension (Machine)",,"",1,"failure",170,7,,,
"L1","9 Feb 2026, 17:33","9 Feb 2026, 18:18","","Crunch (Machine)",,"",0,"warmup",35,6,,,
"L1","9 Feb 2026, 17:33","9 Feb 2026, 18:18","","Crunch (Machine)",,"",1,"normal",70,8,,,
"L1","9 Feb 2026, 17:33","9 Feb 2026, 18:18","","Crunch (Machine)",,"",2,"failure",75,8,,,
"U1","6 Feb 2026, 19:21","6 Feb 2026, 20:02","","Incline Chest Press (Machine)",,"",0,"warmup",40,10,,,
"U1","6 Feb 2026, 19:21","6 Feb 2026, 20:02","","Incline Chest Press (Machine)",,"",1,"warmup",60,5,,,
"U1","6 Feb 2026, 19:21","6 Feb 2026, 20:02","","Incline Chest Press (Machine)",,"",2,"warmup",80,2,,,
"U1","6 Feb 2026, 19:21","6 Feb 2026, 20:02","","Incline Chest Press (Machine)",,"",3,"warmup",100,2,,,
"U1","6 Feb 2026, 19:21","6 Feb 2026, 20:02","","Incline Chest Press (Machine)",,"",4,"failure",95,5,,,
"U1","6 Feb 2026, 19:21","6 Feb 2026, 20:02","","Cable Fly Crossovers",,"",0,"warmup",50,9,,,
"U1","6 Feb 2026, 19:21","6 Feb 2026, 20:02","","Cable Fly Crossovers",,"",1,"warmup",60,4,,,
"U1","6 Feb 2026, 19:21","6 Feb 2026, 20:02","","Cable Fly Crossovers",,"",2,"normal",80,8,,,
"U1","6 Feb 2026, 19:21","6 Feb 2026, 20:02","","Iso-Lateral Row (Machine)",,"",0,"warmup",80,4,,,
"U1","6 Feb 2026, 19:21","6 Feb 2026, 20:02","","Iso-Lateral Row (Machine)",,"",1,"normal",130,7,,,
"U1","6 Feb 2026, 19:21","6 Feb 2026, 20:02","","Iso-Lateral Row (Machine)",,"",2,"failure",130,8,,,
"U1","6 Feb 2026, 19:21","6 Feb 2026, 20:02","","Elevação Lateral Unilateral (cabo)",,"Nã tinha triangulo 😡",0,"warmup",10,7,,,
"U1","6 Feb 2026, 19:21","6 Feb 2026, 20:02","","Elevação Lateral Unilateral (cabo)",,"Nã tinha triangulo 😡",1,"warmup",10,7,,,
"U1","6 Feb 2026, 19:21","6 Feb 2026, 20:02","","Elevação Lateral Unilateral (cabo)",,"Nã tinha triangulo 😡",2,"normal",35,6,,,
"U1","6 Feb 2026, 19:21","6 Feb 2026, 20:02","","Elevação Lateral Unilateral (cabo)",,"Nã tinha triangulo 😡",3,"normal",35,6,,,
"U1","6 Feb 2026, 19:21","6 Feb 2026, 20:02","","Elevação Lateral Unilateral (cabo)",,"Nã tinha triangulo 😡",4,"normal",35,7,,,
"U1","6 Feb 2026, 19:21","6 Feb 2026, 20:02","","Elevação Lateral Unilateral (cabo)",,"Nã tinha triangulo 😡",5,"normal",35,7,,,
"U1","6 Feb 2026, 19:21","6 Feb 2026, 20:02","","Triceps Extension (Machine)",,"Testei a pior maquina de triceps do mundo",0,"warmup",10,7,,,
"U1","6 Feb 2026, 19:21","6 Feb 2026, 20:02","","Triceps Extension (Machine)",,"Testei a pior maquina de triceps do mundo",1,"normal",30,8,,,
"L2","5 Feb 2026, 18:17","5 Feb 2026, 19:12","","Straight Leg Deadlift",,"",0,"warmup",35,9,,,
"L2","5 Feb 2026, 18:17","5 Feb 2026, 19:12","","Straight Leg Deadlift",,"",1,"warmup",65,4,,,
"L2","5 Feb 2026, 18:17","5 Feb 2026, 19:12","","Straight Leg Deadlift",,"",2,"warmup",100,2,,,
"L2","5 Feb 2026, 18:17","5 Feb 2026, 19:12","","Straight Leg Deadlift",,"",3,"normal",130,6,,,
"L2","5 Feb 2026, 18:17","5 Feb 2026, 19:12","","Straight Leg Deadlift",,"",4,"failure",130,5,,,
"L2","5 Feb 2026, 18:17","5 Feb 2026, 19:12","","Leg Extension (Machine)",,"",0,"warmup",80,5,,,
"L2","5 Feb 2026, 18:17","5 Feb 2026, 19:12","","Leg Extension (Machine)",,"",1,"normal",110,9,,,
"L2","5 Feb 2026, 18:17","5 Feb 2026, 19:12","","Leg Extension (Machine)",,"",2,"normal",110,10,,,
"L2","5 Feb 2026, 18:17","5 Feb 2026, 19:12","","Crunch (Machine)",,"",0,"warmup",24,5,,,
"L2","5 Feb 2026, 18:17","5 Feb 2026, 19:12","","Crunch (Machine)",,"",1,"normal",64,8,,,
"L2","5 Feb 2026, 18:17","5 Feb 2026, 19:12","","Crunch (Machine)",,"",2,"failure",64,9,,,
"L2","5 Feb 2026, 18:17","5 Feb 2026, 19:12","","Calf Extension (Machine)",,"",0,"normal",140,12,,,
"L2","5 Feb 2026, 18:17","5 Feb 2026, 19:12","","Calf Extension (Machine)",,"",1,"normal",14,12,,,
"U2","3 Feb 2026, 19:04","3 Feb 2026, 20:20","","Chest Press (Machine)",,"",0,"warmup",40,10,,,
"U2","3 Feb 2026, 19:04","3 Feb 2026, 20:20","","Chest Press (Machine)",,"",1,"warmup",60,5,,,
"U2","3 Feb 2026, 19:04","3 Feb 2026, 20:20","","Chest Press (Machine)",,"",2,"warmup",80,3,,,
"U2","3 Feb 2026, 19:04","3 Feb 2026, 20:20","","Chest Press (Machine)",,"",3,"normal",100,6,,,
"U2","3 Feb 2026, 19:04","3 Feb 2026, 20:20","","Chest Press (Machine)",,"",4,"failure",100,5,,,
"U2","3 Feb 2026, 19:04","3 Feb 2026, 20:20","","Lat Pulldown - Close Grip (Cable)",,"",0,"warmup",30,9,,,
"U2","3 Feb 2026, 19:04","3 Feb 2026, 20:20","","Lat Pulldown - Close Grip (Cable)",,"",1,"warmup",75,4,,,
"U2","3 Feb 2026, 19:04","3 Feb 2026, 20:20","","Lat Pulldown - Close Grip (Cable)",,"",2,"normal",98,9,,,
"U2","3 Feb 2026, 19:04","3 Feb 2026, 20:20","","Lat Pulldown - Close Grip (Cable)",,"",3,"failure",100,7,,,
"U2","3 Feb 2026, 19:04","3 Feb 2026, 20:20","","T Bar Row",,"",0,"warmup",40,4,,,
"U2","3 Feb 2026, 19:04","3 Feb 2026, 20:20","","T Bar Row",,"",1,"normal",85,6,,,
"U2","3 Feb 2026, 19:04","3 Feb 2026, 20:20","","T Bar Row",,"",2,"failure",85,5,,,
"U2","3 Feb 2026, 19:04","3 Feb 2026, 20:20","","Shoulder Press (Dumbbell)",,"",0,"warmup",52,5,,,
"U2","3 Feb 2026, 19:04","3 Feb 2026, 20:20","","Shoulder Press (Dumbbell)",,"",1,"failure",68,8,,,
"U2","3 Feb 2026, 19:04","3 Feb 2026, 20:20","","Bicep Curl (Barbell)",,"",0,"normal",45,5,,,
"U2","3 Feb 2026, 19:04","3 Feb 2026, 20:20","","Bicep Curl (Barbell)",,"",1,"failure",45,5,,,
"U2","3 Feb 2026, 19:04","3 Feb 2026, 20:20","","Rear Delt Reverse Fly (Machine)",,"",0,"failure",65,8,,,
"L1","2 Feb 2026, 19:21","2 Feb 2026, 20:13","","Squat (Barbell)",,"",0,"warmup",40,8,,,
"L1","2 Feb 2026, 19:21","2 Feb 2026, 20:13","","Squat (Barbell)",,"",1,"warmup",80,5,,,
"L1","2 Feb 2026, 19:21","2 Feb 2026, 20:13","","Squat (Barbell)",,"",2,"warmup",100,2,,,
"L1","2 Feb 2026, 19:21","2 Feb 2026, 20:13","","Squat (Barbell)",,"",3,"normal",116,5,,,
"L1","2 Feb 2026, 19:21","2 Feb 2026, 20:13","","Squat (Barbell)",,"",4,"failure",116,3,,,
"L1","2 Feb 2026, 19:21","2 Feb 2026, 20:13","","Seated Leg Curl (Machine)",,"",0,"warmup",50,7,,,
"L1","2 Feb 2026, 19:21","2 Feb 2026, 20:13","","Seated Leg Curl (Machine)",,"",1,"warmup",110,2,,,
"L1","2 Feb 2026, 19:21","2 Feb 2026, 20:13","","Seated Leg Curl (Machine)",,"",2,"normal",70,7,,,
"L1","2 Feb 2026, 19:21","2 Feb 2026, 20:13","","Seated Leg Curl (Machine)",,"",3,"normal",70,7,,,
"L1","2 Feb 2026, 19:21","2 Feb 2026, 20:13","","Seated Leg Curl (Machine)",,"",4,"failure",70,7,,,
"L1","2 Feb 2026, 19:21","2 Feb 2026, 20:13","","Seated Leg Curl (Machine)",,"",5,"failure",70,7,,,
"L1","2 Feb 2026, 19:21","2 Feb 2026, 20:13","","Standing Calf Raise (Machine)",,"",0,"warmup",140,6,,,
"L1","2 Feb 2026, 19:21","2 Feb 2026, 20:13","","Standing Calf Raise (Machine)",,"",1,"failure",180,10,,,
"L1","2 Feb 2026, 19:21","2 Feb 2026, 20:13","","Crunch (Weighted)",,"",0,"warmup",,10,,,
"L1","2 Feb 2026, 19:21","2 Feb 2026, 20:13","","Crunch (Weighted)",,"",1,"normal",12,16,,,
"L1","2 Feb 2026, 19:21","2 Feb 2026, 20:13","","Crunch (Weighted)",,"",2,"failure",12,12,,,
"U1","30 Jan 2026, 21:12","30 Jan 2026, 21:55","","Chest Press (Machine)",,"",0,"warmup",40,10,,,
"U1","30 Jan 2026, 21:12","30 Jan 2026, 21:55","","Chest Press (Machine)",,"",1,"warmup",60,4,,,
"U1","30 Jan 2026, 21:12","30 Jan 2026, 21:55","","Chest Press (Machine)",,"",2,"warmup",80,3,,,
"U1","30 Jan 2026, 21:12","30 Jan 2026, 21:55","","Chest Press (Machine)",,"",3,"normal",100,6,,,
"U1","30 Jan 2026, 21:12","30 Jan 2026, 21:55","","Chest Press (Machine)",,"",4,"failure",100,5,,,
"U1","30 Jan 2026, 21:12","30 Jan 2026, 21:55","","Chest Fly (Machine)",,"",0,"warmup",50,5,,,
"U1","30 Jan 2026, 21:12","30 Jan 2026, 21:55","","Chest Fly (Machine)",,"",1,"failure",90,7,,,
"U1","30 Jan 2026, 21:12","30 Jan 2026, 21:55","","Remada Nêutra Unilateral",,"",0,"warmup",30,4,,,
"U1","30 Jan 2026, 21:12","30 Jan 2026, 21:55","","Remada Nêutra Unilateral",,"",1,"warmup",30,4,,,
"U1","30 Jan 2026, 21:12","30 Jan 2026, 21:55","","Remada Nêutra Unilateral",,"",2,"normal",60,8,,,
"U1","30 Jan 2026, 21:12","30 Jan 2026, 21:55","","Remada Nêutra Unilateral",,"",3,"normal",60,8,,,
"U1","30 Jan 2026, 21:12","30 Jan 2026, 21:55","","Remada Nêutra Unilateral",,"",4,"failure",60,7,,,
"U1","30 Jan 2026, 21:12","30 Jan 2026, 21:55","","Remada Nêutra Unilateral",,"",5,"failure",60,7,,,
"U1","30 Jan 2026, 21:12","30 Jan 2026, 21:55","","Elevação Lateral Unilateral (cabo)",,"",0,"warmup",10,7,,,
"U1","30 Jan 2026, 21:12","30 Jan 2026, 21:55","","Elevação Lateral Unilateral (cabo)",,"",1,"warmup",10,7,,,
"U1","30 Jan 2026, 21:12","30 Jan 2026, 21:55","","Elevação Lateral Unilateral (cabo)",,"",2,"normal",35,8,,,
"U1","30 Jan 2026, 21:12","30 Jan 2026, 21:55","","Elevação Lateral Unilateral (cabo)",,"",3,"normal",35,8,,,
"U1","30 Jan 2026, 21:12","30 Jan 2026, 21:55","","Elevação Lateral Unilateral (cabo)",,"",4,"normal",35,7,,,
"U1","30 Jan 2026, 21:12","30 Jan 2026, 21:55","","Elevação Lateral Unilateral (cabo)",,"",5,"normal",35,7,,,
"L2","29 Jan 2026, 20:53","29 Jan 2026, 21:52","","Straight Leg Deadlift",,"",0,"warmup",45,5,,,
"L2","29 Jan 2026, 20:53","29 Jan 2026, 21:52","","Straight Leg Deadlift",,"",1,"warmup",65,4,,,
"L2","29 Jan 2026, 20:53","29 Jan 2026, 21:52","","Straight Leg Deadlift",,"",2,"warmup",105,2,,,
"L2","29 Jan 2026, 20:53","29 Jan 2026, 21:52","","Straight Leg Deadlift",,"",3,"normal",129,6,,,
"L2","29 Jan 2026, 20:53","29 Jan 2026, 21:52","","Straight Leg Deadlift",,"",4,"failure",129,5,,,
"L2","29 Jan 2026, 20:53","29 Jan 2026, 21:52","","Leg Extension (Machine)",,"",0,"warmup",80,4,,,
"L2","29 Jan 2026, 20:53","29 Jan 2026, 21:52","","Leg Extension (Machine)",,"",1,"normal",65,7,,,
"L2","29 Jan 2026, 20:53","29 Jan 2026, 21:52","","Leg Extension (Machine)",,"",2,"normal",65,7,,,
"L2","29 Jan 2026, 20:53","29 Jan 2026, 21:52","","Leg Extension (Machine)",,"",3,"failure",65,5,,,
"L2","29 Jan 2026, 20:53","29 Jan 2026, 21:52","","Leg Extension (Machine)",,"",4,"failure",65,5,,,
"L2","29 Jan 2026, 20:53","29 Jan 2026, 21:52","","Crunch (Weighted)",,"",0,"warmup",,5,,,
"L2","29 Jan 2026, 20:53","29 Jan 2026, 21:52","","Crunch (Weighted)",,"",1,"normal",12,14,,,
"L2","29 Jan 2026, 20:53","29 Jan 2026, 21:52","","Crunch (Weighted)",,"",2,"normal",12,15,,,
"L2","29 Jan 2026, 20:53","29 Jan 2026, 21:52","","Standing Calf Raise (Machine)",,"",0,"warmup",100,6,,,
"L2","29 Jan 2026, 20:53","29 Jan 2026, 21:52","","Standing Calf Raise (Machine)",,"",1,"normal",170,11,,,
"U2","27 Jan 2026, 20:45","27 Jan 2026, 21:50","","Chest Press (Machine)",,"",0,"warmup",40,10,,,
"U2","27 Jan 2026, 20:45","27 Jan 2026, 21:50","","Chest Press (Machine)",,"",1,"warmup",60,5,,,
"U2","27 Jan 2026, 20:45","27 Jan 2026, 21:50","","Chest Press (Machine)",,"",2,"warmup",80,3,,,
"U2","27 Jan 2026, 20:45","27 Jan 2026, 21:50","","Chest Press (Machine)",,"",3,"normal",100,6,,,
"U2","27 Jan 2026, 20:45","27 Jan 2026, 21:50","","Chest Press (Machine)",,"",4,"failure",100,5,,,
"U2","27 Jan 2026, 20:45","27 Jan 2026, 21:50","","Lat Pulldown (Machine)",,"",0,"warmup",40,7,,,
"U2","27 Jan 2026, 20:45","27 Jan 2026, 21:50","","Lat Pulldown (Machine)",,"",1,"warmup",90,4,,,
"U2","27 Jan 2026, 20:45","27 Jan 2026, 21:50","","Lat Pulldown (Machine)",,"",2,"normal",140,7,,,
"U2","27 Jan 2026, 20:45","27 Jan 2026, 21:50","","Lat Pulldown (Machine)",,"",3,"failure",140,5,,,
"U2","27 Jan 2026, 20:45","27 Jan 2026, 21:50","","Seated Cable Row - Bar Grip",,"Minha lombar claramente cansada",0,"warmup",30,6,,,
"U2","27 Jan 2026, 20:45","27 Jan 2026, 21:50","","Seated Cable Row - Bar Grip",,"Minha lombar claramente cansada",1,"normal",90,7,,,
"U2","27 Jan 2026, 20:45","27 Jan 2026, 21:50","","Seated Cable Row - Bar Grip",,"Minha lombar claramente cansada",2,"normal",90,7,,,
"U2","27 Jan 2026, 20:45","27 Jan 2026, 21:50","","Shoulder Press (Dumbbell)",,"",0,"warmup",52,5,,,
"U2","27 Jan 2026, 20:45","27 Jan 2026, 21:50","","Shoulder Press (Dumbbell)",,"",1,"failure",68,7,,,
"U2","27 Jan 2026, 20:45","27 Jan 2026, 21:50","","Preacher Curl (Machine)",,"",0,"normal",55,7,,,
"U2","27 Jan 2026, 20:45","27 Jan 2026, 21:50","","Preacher Curl (Machine)",,"",1,"failure",55,5,,,
"U2","27 Jan 2026, 20:45","27 Jan 2026, 21:50","","Rear Delt Reverse Fly (Machine)",,"",0,"failure",65,8,,,
"L1","26 Jan 2026, 20:29","26 Jan 2026, 21:26","","Squat (Barbell)",,"NOW I KNOW WHY YOU WANNA HATE ME",0,"warmup",40,9,,,
"L1","26 Jan 2026, 20:29","26 Jan 2026, 21:26","","Squat (Barbell)",,"NOW I KNOW WHY YOU WANNA HATE ME",1,"warmup",80,4,,,
"L1","26 Jan 2026, 20:29","26 Jan 2026, 21:26","","Squat (Barbell)",,"NOW I KNOW WHY YOU WANNA HATE ME",2,"warmup",100,2,,,
"L1","26 Jan 2026, 20:29","26 Jan 2026, 21:26","","Squat (Barbell)",,"NOW I KNOW WHY YOU WANNA HATE ME",3,"normal",114,7,,,
"L1","26 Jan 2026, 20:29","26 Jan 2026, 21:26","","Squat (Barbell)",,"NOW I KNOW WHY YOU WANNA HATE ME",4,"failure",114,4,,,
"L1","26 Jan 2026, 20:29","26 Jan 2026, 21:26","","Seated Leg Curl (Machine)",,"Unilateral nas de trabalho",0,"warmup",50,7,,,
"L1","26 Jan 2026, 20:29","26 Jan 2026, 21:26","","Seated Leg Curl (Machine)",,"Unilateral nas de trabalho",1,"warmup",110,2,,,
"L1","26 Jan 2026, 20:29","26 Jan 2026, 21:26","","Seated Leg Curl (Machine)",,"Unilateral nas de trabalho",2,"normal",70,7,,,
"L1","26 Jan 2026, 20:29","26 Jan 2026, 21:26","","Seated Leg Curl (Machine)",,"Unilateral nas de trabalho",3,"normal",70,7,,,
"L1","26 Jan 2026, 20:29","26 Jan 2026, 21:26","","Seated Leg Curl (Machine)",,"Unilateral nas de trabalho",4,"failure",70,6,,,
"L1","26 Jan 2026, 20:29","26 Jan 2026, 21:26","","Seated Leg Curl (Machine)",,"Unilateral nas de trabalho",5,"failure",70,6,,,
"L1","26 Jan 2026, 20:29","26 Jan 2026, 21:26","","Standing Calf Raise (Machine)",,"",0,"warmup",100,7,,,
"L1","26 Jan 2026, 20:29","26 Jan 2026, 21:26","","Standing Calf Raise (Machine)",,"",1,"failure",160,12,,,
"L1","26 Jan 2026, 20:29","26 Jan 2026, 21:26","","Crunch (Weighted)",,"",0,"warmup",,5,,,
"L1","26 Jan 2026, 20:29","26 Jan 2026, 21:26","","Crunch (Weighted)",,"",1,"normal",8,16,,,
"L1","26 Jan 2026, 20:29","26 Jan 2026, 21:26","","Crunch (Weighted)",,"",2,"normal",12,12,,,
"U1","23 Jan 2026, 20:29","23 Jan 2026, 21:29","","Incline Bench Press (Smith Machine)",,"",0,"warmup",30,10,,,
"U1","23 Jan 2026, 20:29","23 Jan 2026, 21:29","","Incline Bench Press (Smith Machine)",,"",1,"warmup",50,4,,,
"U1","23 Jan 2026, 20:29","23 Jan 2026, 21:29","","Incline Bench Press (Smith Machine)",,"",2,"warmup",70,3,,,
"U1","23 Jan 2026, 20:29","23 Jan 2026, 21:29","","Incline Bench Press (Smith Machine)",,"",3,"normal",70,8,,,
"U1","23 Jan 2026, 20:29","23 Jan 2026, 21:29","","Incline Bench Press (Smith Machine)",,"",4,"failure",70,7,,,
"U1","23 Jan 2026, 20:29","23 Jan 2026, 21:29","","Chest Fly (Machine)",,"",0,"warmup",50,5,,,
"U1","23 Jan 2026, 20:29","23 Jan 2026, 21:29","","Chest Fly (Machine)",,"",1,"failure",90,7,,,
"U1","23 Jan 2026, 20:29","23 Jan 2026, 21:29","","Remada Nêutra Unilateral",,"",0,"warmup",30,6,,,
"U1","23 Jan 2026, 20:29","23 Jan 2026, 21:29","","Remada Nêutra Unilateral",,"",1,"warmup",30,6,,,
"U1","23 Jan 2026, 20:29","23 Jan 2026, 21:29","","Remada Nêutra Unilateral",,"",2,"normal",60,8,,,
"U1","23 Jan 2026, 20:29","23 Jan 2026, 21:29","","Remada Nêutra Unilateral",,"",3,"normal",60,8,,,
"U1","23 Jan 2026, 20:29","23 Jan 2026, 21:29","","Remada Nêutra Unilateral",,"",4,"normal",60,6,,,
"U1","23 Jan 2026, 20:29","23 Jan 2026, 21:29","","Remada Nêutra Unilateral",,"",5,"normal",60,6,,,
"U1","23 Jan 2026, 20:29","23 Jan 2026, 21:29","","Elevação Lateral Unilateral (cabo)",,"",0,"warmup",10,7,,,
